Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000163568,AIM2,0.00,0.05,Inf,0.00,0.06,Inf
ENSG00000163576,EFHB,0.06,0.11,0.90,0.06,0.13,1.17
ENSG00000163577,EIF5A2,0.22,6.40,4.86,4.59,4.67,0.03
ENSG00000163581,SLC2A2,0.09,0.06,-0.68,0.10,0.04,-1.19
ENSG00000163584,RPL22L1,10.10,63.55,2.65,19.39,69.94,1.85
ENSG00000163586,FABP1,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000163590,PPM1L,0.35,0.07,-2.28,0.24,0.09,-1.44
ENSG00000163596,ICA1L,5.50,0.55,-3.31,3.82,0.58,-2.73
ENSG00000163599,CTLA4,0.06,0.06,0.03,0.04,0.07,0.93
ENSG00000163600,ICOS,0.15,0.01,-3.37,0.12,0.00,-Inf
ENSG00000163602,RYBP,4.43,10.72,1.27,10.77,7.54,-0.51
ENSG00000163605,PPP4R2,10.94,9.60,-0.19,12.87,7.82,-0.72
ENSG00000163606,CD200R1,0.00,0.37,Inf,0.02,0.44,4.25
ENSG00000163607,GTPBP8,8.79,11.34,0.37,8.90,11.89,0.42
ENSG00000163608,NEPRO,28.35,11.91,-1.25,23.22,11.64,-1.00
ENSG00000163611,SPICE1,11.00,3.94,-1.48,9.18,3.54,-1.38
ENSG00000163617,CCDC191,4.53,0.55,-3.03,3.64,0.23,-4.00
ENSG00000163618,CADPS,1.47,0.06,-4.61,1.06,0.02,-6.14
ENSG00000163623,NKX6-1,0.11,0.07,-0.69,0.16,0.02,-2.80
ENSG00000163624,CDS1,26.31,3.86,-2.77,18.82,3.86,-2.28
ENSG00000163625,WDFY3,3.62,1.18,-1.61,2.86,1.15,-1.32
ENSG00000163626,COX18,0.44,0.90,1.06,0.40,1.05,1.40
ENSG00000163629,PTPN13,9.21,0.28,-5.06,6.46,0.10,-5.98
ENSG00000163630,SYNPR,0.02,0.03,0.68,0.04,0.02,-1.31
ENSG00000163631,ALB,0.00,0.10,Inf,0.00,0.13,Inf
ENSG00000163632,C3orf49,4.64,0.17,-4.80,3.18,0.14,-4.53
ENSG00000163633,C4orf36,0.25,0.56,1.18,0.34,0.56,0.71
ENSG00000163634,THOC7,38.42,27.84,-0.46,28.16,32.90,0.22
ENSG00000163635,ATXN7,8.20,1.80,-2.19,6.00,1.84,-1.70
ENSG00000163636,PSMD6,8.70,25.55,1.56,10.13,28.70,1.50
ENSG00000163637,PRICKLE2,2.31,0.02,-6.71,1.54,0.03,-5.80
